host,src_ip,timestamp,event_count,failed_login_count,distinct_dst_ports,distinct_dst_ips,distinct_users,total_bytes_out,max_bytes_out,attack_present,hour,is_weekday
host-01,10.0.0.100,2026-06-02 14:29:00,1,0,0,0,1,0,0,0,14,1
host-01,10.0.0.101,2026-06-02 22:10:00,1,0,1,1,0,2675,2675,0,22,1
host-01,10.0.0.101,2026-06-03 19:41:00,1,0,1,1,0,45752,45752,0,19,1
host-01,10.0.0.101,2026-06-04 02:12:00,1,0,1,1,0,21772,21772,0,2,1
host-01,10.0.0.101,2026-06-05 03:52:00,1,0,0,0,1,0,0,0,3,1
host-01,10.0.0.103,2026-06-01 21:13:00,1,0,1,1,0,6952,6952,0,21,1
host-01,10.0.0.103,2026-06-02 07:41:00,1,0,1,1,0,44138,44138,0,7,1
host-01,10.0.0.103,2026-06-02 17:17:00,1,0,1,1,0,49751,49751,0,17,1
host-01,10.0.0.104,2026-06-03 08:14:00,1,0,1,1,0,9053,9053,0,8,1
host-01,10.0.0.105,2026-06-02 12:57:00,1,0,0,0,1,0,0,0,12,1
host-01,10.0.0.107,2026-06-02 05:05:00,1,0,1,1,0,34989,34989,0,5,1
host-01,10.0.0.107,2026-06-03 04:54:00,1,0,1,1,0,43624,43624,0,4,1
host-01,10.0.0.107,2026-06-04 18:44:00,1,0,0,0,1,0,0,0,18,1
host-01,10.0.0.108,2026-06-05 06:04:00,1,0,1,1,0,8125,8125,0,6,1
host-01,10.0.0.109,2026-06-02 09:32:00,1,0,1,1,0,31767,31767,0,9,1
host-01,10.0.0.109,2026-06-02 15:28:00,1,0,0,0,1,0,0,0,15,1
host-01,10.0.0.109,2026-06-04 10:58:00,1,0,1,1,0,49883,49883,0,10,1
host-01,10.0.0.109,2026-06-05 03:44:00,1,0,1,1,0,49534,49534,0,3,1
host-01,10.0.0.11,2026-06-02 13:09:00,1,0,1,1,0,20377,20377,0,13,1
host-01,10.0.0.110,2026-06-01 18:21:00,1,0,1,1,0,48153,48153,0,18,1
host-01,10.0.0.112,2026-06-03 08:44:00,1,0,0,0,1,0,0,0,8,1
host-01,10.0.0.112,2026-06-03 19:59:00,1,0,0,0,1,0,0,0,19,1
host-01,10.0.0.113,2026-06-02 02:54:00,1,0,1,1,0,29046,29046,0,2,1
host-01,10.0.0.114,2026-06-05 06:15:00,1,0,1,1,0,10415,10415,0,6,1
host-01,10.0.0.115,2026-06-01 13:28:00,1,0,1,1,0,42791,42791,0,13,1
host-01,10.0.0.115,2026-06-04 04:52:00,1,0,1,1,0,13136,13136,0,4,1
host-01,10.0.0.115,2026-06-05 02:14:00,1,0,1,1,0,5296,5296,0,2,1
host-01,10.0.0.116,2026-06-03 08:57:00,1,0,1,1,0,7086,7086,0,8,1
host-01,10.0.0.116,2026-06-05 05:08:00,1,0,1,1,0,7371,7371,0,5,1
host-01,10.0.0.117,2026-06-03 10:48:00,1,0,1,1,0,44521,44521,0,10,1
host-01,10.0.0.117,2026-06-05 13:36:00,1,0,1,1,0,36291,36291,0,13,1
host-01,10.0.0.118,2026-06-01 06:56:00,1,0,1,1,0,4597,4597,0,6,1
host-01,10.0.0.118,2026-06-01 17:15:00,1,0,1,1,0,27177,27177,0,17,1
host-01,10.0.0.12,2026-06-01 08:53:00,1,0,1,1,0,28866,28866,0,8,1
host-01,10.0.0.120,2026-06-03 08:09:00,1,0,1,1,0,25155,25155,0,8,1
host-01,10.0.0.120,2026-06-05 22:10:00,1,0,1,1,0,16349,16349,0,22,1
host-01,10.0.0.121,2026-06-02 19:15:00,1,0,0,0,1,0,0,0,19,1
host-01,10.0.0.121,2026-06-03 01:15:00,1,0,1,1,0,46828,46828,0,1,1
