timestamp,event_type,host,user,src_ip,dst_ip,dst_port,status,bytes_out,is_attack,attack_type
2026-06-01T00:03:32,network,host-20,,10.0.0.178,185.220.58.36,80,success,34161,0,
2026-06-01T00:04:41,network,host-01,,10.0.0.41,185.220.94.42,3389,success,23405,0,
2026-06-01T00:06:33,network,host-11,,10.0.0.243,185.220.163.214,53,success,44349,0,
2026-06-01T00:07:01,network,host-20,,10.0.0.88,185.220.138.32,22,success,41513,0,
2026-06-01T00:07:06,network,host-03,,10.0.0.44,185.220.181.18,80,success,16581,0,
2026-06-01T00:08:08,network,host-14,,10.0.0.237,185.220.24.98,443,success,26422,0,
2026-06-01T00:08:09,network,host-15,,10.0.0.98,185.220.60.222,443,success,11120,0,
2026-06-01T00:08:15,network,host-13,,10.0.0.203,185.220.140.108,443,success,44634,0,
2026-06-01T00:08:41,network,host-15,,10.0.0.167,10.0.0.76,22,success,44767,0,
2026-06-01T00:08:55,network,host-03,,10.0.0.48,185.220.217.89,3389,success,49082,0,
2026-06-01T00:09:07,network,host-06,,10.0.0.34,185.220.71.63,443,success,15209,0,
2026-06-01T00:09:33,network,host-06,,10.0.0.151,185.220.88.72,80,success,4695,0,
2026-06-01T00:09:48,login,host-18,user22,10.0.0.28,,,success,0,0,
2026-06-01T00:11:51,login,host-13,user20,10.0.0.28,,,success,0,0,
2026-06-01T00:12:53,network,host-05,,10.0.0.63,185.220.229.140,22,success,10455,0,
2026-06-01T00:13:23,network,host-11,,10.0.0.176,185.220.21.219,22,success,28027,0,
2026-06-01T00:14:58,network,host-13,,10.0.0.173,185.220.57.115,22,success,47240,0,
2026-06-01T00:15:05,network,host-18,,10.0.0.179,185.220.2.195,443,success,43424,0,
2026-06-01T00:15:29,network,host-02,,10.0.0.172,10.0.0.22,80,success,44227,0,
2026-06-01T00:15:31,login,host-08,user12,10.0.0.229,,,failed,0,0,
2026-06-01T00:16:57,network,host-17,,10.0.0.52,185.220.155.68,3389,success,45114,0,
2026-06-01T00:17:02,network,host-01,,10.0.0.178,185.220.12.170,445,success,42367,0,
2026-06-01T00:17:02,network,host-03,,10.0.0.123,185.220.21.219,3389,success,8434,0,
2026-06-01T00:18:23,network,host-10,,10.0.0.24,185.220.148.50,80,success,37201,0,
2026-06-01T00:24:17,network,host-12,,10.0.0.147,185.220.109.9,53,success,42059,0,
2026-06-01T00:25:57,network,host-16,,10.0.0.141,185.220.75.253,80,success,42375,0,
2026-06-01T00:26:05,login,host-07,user13,10.0.0.157,,,success,0,0,
2026-06-01T00:26:40,login,host-20,user08,10.0.0.135,,,success,0,0,
2026-06-01T00:27:17,network,host-15,,10.0.0.197,185.220.87.27,445,success,27396,0,
2026-06-01T00:28:06,network,host-07,,10.0.0.109,185.220.217.89,443,success,8954,0,
2026-06-01T00:28:21,login,host-20,user05,10.0.0.195,,,success,0,0,
2026-06-01T00:29:22,network,host-20,,10.0.0.181,185.220.24.98,3389,success,11656,0,
2026-06-01T00:29:36,network,host-02,,10.0.0.229,185.220.71.63,80,success,19694,0,
2026-06-01T00:29:44,network,host-16,,10.0.0.193,185.220.71.63,445,success,38580,0,
2026-06-01T00:30:08,network,host-18,,10.0.0.224,185.220.250.237,445,success,18098,0,
2026-06-01T00:31:01,network,host-17,,10.0.0.220,185.220.207.41,445,success,36010,0,
2026-06-01T00:31:29,network,host-18,,10.0.0.12,185.220.87.27,443,success,2601,0,
2026-06-01T00:32:31,network,host-13,,10.0.0.48,185.220.94.42,22,success,42503,0,
2026-06-01T00:32:56,network,host-01,,10.0.0.26,185.220.109.9,3389,success,34999,0,
2026-06-01T00:33:09,network,host-17,,10.0.0.107,185.220.229.140,445,success,39401,0,
2026-06-01T00:34:14,network,host-04,,10.0.0.130,185.220.155.68,80,success,15634,0,
2026-06-01T00:40:38,network,host-03,,10.0.0.119,185.220.59.198,443,success,21724,0,
2026-06-01T00:40:47,network,host-20,,10.0.0.184,185.220.187.118,443,success,19089,0,
2026-06-01T00:44:42,network,host-08,,10.0.0.215,185.220.21.219,80,success,24772,0,
2026-06-01T00:45:10,login,host-13,user19,10.0.0.247,,,success,0,0,
2026-06-01T00:49:12,login,host-04,user24,10.0.0.116,,,success,0,0,
2026-06-01T00:49:26,network,host-16,,10.0.0.238,185.220.142.76,445,success,44802,0,
2026-06-01T00:50:21,network,host-14,,10.0.0.64,185.220.207.41,53,success,14956,0,
2026-06-01T00:53:31,network,host-02,,10.0.0.6,185.220.246.196,3389,success,49678,0,
2026-06-01T00:54:10,login,host-06,user07,10.0.0.22,,,success,0,0,
2026-06-01T00:54:56,network,host-02,,10.0.0.193,10.0.0.54,53,success,20327,0,
2026-06-01T00:55:08,network,host-02,,10.0.0.49,185.220.8.24,3389,success,24394,0,
2026-06-01T00:56:20,network,host-18,,10.0.0.235,185.220.207.41,445,success,29830,0,
2026-06-01T00:56:36,network,host-20,,10.0.0.107,185.220.2.195,22,success,7529,0,
2026-06-01T00:56:47,network,host-06,,10.0.0.190,185.220.2.195,80,success,6295,0,
2026-06-01T00:57:08,network,host-12,,10.0.0.218,185.220.25.92,53,success,14430,0,
2026-06-01T00:57:24,network,host-17,,10.0.0.127,185.220.155.68,22,success,8515,0,
2026-06-01T00:57:29,network,host-07,,10.0.0.206,185.220.57.115,53,success,29862,0,
2026-06-01T00:58:46,network,host-12,,10.0.0.37,185.220.138.32,53,success,30071,0,
